Headline,Price,Date,Stock Direction
Twitter is no longer enforcing its Covid misinformation policy  ,182.46,11/29/2022 10:20,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.46,11/29/2022 10:20,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.46,11/29/2022 10:20,1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,182.46,11/29/2022 10:20,1
Congressional Stalemate: Department Of Defense Urges Leaders To Approve Spending Bill –Here’s What’s At Stake ,182.46,11/29/2022 10:20,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.46,11/29/2022 10:20,1
Twitter is no longer enforcing its Covid misinformation policy  ,183.08,11/29/2022 10:25,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,183.08,11/29/2022 10:25,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,183.08,11/29/2022 10:25,1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,183.08,11/29/2022 10:25,1
Congressional Stalemate: Department Of Defense Urges Leaders To Approve Spending Bill –Here’s What’s At Stake ,183.08,11/29/2022 10:25,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,183.08,11/29/2022 10:25,1
Twitter is no longer enforcing its Covid misinformation policy  ,182.69,11/29/2022 10:29,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.69,11/29/2022 10:29,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.69,11/29/2022 10:29,-1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,182.69,11/29/2022 10:29,-1
Congressional Stalemate: Department Of Defense Urges Leaders To Approve Spending Bill –Here’s What’s At Stake ,182.69,11/29/2022 10:29,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.69,11/29/2022 10:29,-1
Twitter is no longer enforcing its Covid misinformation policy  ,183.34,11/29/2022 10:34,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,183.34,11/29/2022 10:34,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,183.34,11/29/2022 10:34,1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,183.34,11/29/2022 10:34,1
Kellyanne Conway Testifies To House Jan. 6 Committee As Panel Wraps Up Its Work ,183.34,11/29/2022 10:34,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,183.34,11/29/2022 10:34,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,183.38,11/29/2022 10:39,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,183.38,11/29/2022 10:39,1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,183.38,11/29/2022 10:39,1
Congressional Stalemate: Department Of Defense Urges Leaders To Approve Spending Bill –Here’s What’s At Stake ,183.38,11/29/2022 10:39,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,183.38,11/29/2022 10:39,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.41,11/29/2022 10:44,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.41,11/29/2022 10:44,-1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,182.41,11/29/2022 10:44,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.41,11/29/2022 10:44,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,181.9,11/29/2022 10:49,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,181.9,11/29/2022 10:49,-1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,181.9,11/29/2022 10:49,-1
Congressional Stalemate: Department Of Defense Urges Leaders To Approve Spending Bill –Here’s What’s At Stake ,181.9,11/29/2022 10:49,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,181.9,11/29/2022 10:49,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,181.8,11/29/2022 10:53,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,181.8,11/29/2022 10:53,-1
Disney CEO Iger Shuts Down Apple Merger Rumors Sticks By Hiring Freeze ,181.8,11/29/2022 10:53,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,181.8,11/29/2022 10:53,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.57,11/29/2022 10:58,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.57,11/29/2022 10:58,1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,182.57,11/29/2022 10:58,1
